확정여부,구분,티켓명,인보이스 번호,주문번호1 구분,carrier_name,carrier_mode,onboard_date,출발창고,도착창고,인바운드(자동),SBS_인바운드(키인),인바운드 번호,FNSKU,ASIN,resource_code,resource_name,qty_ea,qty_ctn,unit_price,amount_usd,exp_date,remark,bl_no,status,unit_type,unit_count,pallet,kg_total,cbm_total,eta_date,수출신고번호,arrival_date,inbound_date,leadtime_total,선박/편명,선적여부,bl_version,입고완료,입고중_AMZ,입고중,점검
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456026,B0DP71G21M,BA00028,Purple Rice PDRN Pore Minimizing Serum 30ml,1000,25,1,1000,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,1000,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456019,B0DP71RXDV,BA00027,Purple Rice Pore Purifying Pack Cleanser 130g,240,4,1,240,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,240,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456361,B0DZBK78H3,BA00035,Collagen Pore-Tight Up Gel toner pads,96,2,1,96,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,96,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456354,B0DZBD3VKX,BA00036,Collagen Glow Up Gel toner pads,96,2,1,96,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,96,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456446,,BA00037,Collagen Pore-Tight Up Hydrogel Mask - 1 Sheets,3000,15,1,3000,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,3000,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456422,,BA00038,Collagen Glow Up Hydrogel Mask - 1 Sheets,3000,15,1,3000,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,3000,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456347,B0F4QXKJCW,BA00039,Bakuchiol Plumping Capsule Cream,240,4,1,240,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,240,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456378,,BA00033,Toner Sachet [2ml/-],3600,2,1,3600,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,3600,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456385,,BA00034,Bakuchiol Plumping Serum Sachet [2ml/-],3600,2,1,3600,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,3600,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456040,,BA00041,Vitamin Illuminating Serum Sachet [2ml/-],3600,2,1,3600,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,3600,0,0,정상
확정,1,ASANA 이전 생성건,TA254005250819,TA254005250819,KW,SEND,45893,태광KR,AMZUS,TA254005250819,,TA254005250819,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,10044,93,8,80352,20280710,,KWAS002900,FINISHED,CT,49,49,759.5,,2025-08-25,4473525080474X,2025-08-25,2025-09-01,2025-08-24,OZ232,Y,ALL_RECEIVED,0,0,0,확인요
확정,0,ASANA 이전 생성건,TA717001250822,TA717001250822,CJ,해상,45901,태광KR,CJ서부US,TA717001250822,,TA717001250822,8809875456484,B0D8W2W8C2,BA00021,Bakuchiol Plumping Serum,17496,162,8,139968,20280717,BK#KR04181980,COKR25012645,FINISHED,40HQ,1,19,13981.8,31.57,2025-09-13,2475025902029X,2025-09-13,2025-09-19,2025-09-01,KMTC MUNDRA,Y,ALL_RECEIVED,17496,0,0,정상
확정,0,ASANA 이전 생성건,TA717001250822,TA717001250822,CJ,해상,45901,태광KR,CJ서부US,TA717001250822,,TA717001250822,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,11664,108,8,93312,20280713,ETD 9/1 ETA 9/14,COKR25012645,FINISHED,40HQ,1,19,13981.8,31.57,2025-09-13,2475025902029X,2025-09-13,2025-09-19,2025-09-01,KMTC MUNDRA,Y,ALL_RECEIVED,11664,0,0,정상
확정,0,ASANA 이전 생성건,TA717001250822,TA717001250822,CJ,해상,45901,태광KR,CJ서부US,TA717001250822,,TA717001250822,8809875456347,B0F4QXKJCW,BA00039,Bakuchiol Plumping Capsule Cream,3840,64,8,30720,20280804,,COKR25012645,FINISHED,40HQ,1,19,13981.8,31.57,2025-09-13,2475025902029X,2025-09-13,2025-09-19,2025-09-01,KMTC MUNDRA,Y,ALL_RECEIVED,3840,0,0,정상
확정,0,ASANA 이전 생성건,TA717001250822,TA717001250822,CJ,해상,45901,태광KR,CJ서부US,TA717001250822,,TA717001250822,8809875453193,B0CMC6S4BM,BA00023,Swimming Pool Toner 300ml,12670,362,6.5,82355,20280407,,COKR25012645,FINISHED,40HQ,1,19,13981.8,31.57,2025-09-13,2475025902029X,2025-09-13,2025-09-19,2025-09-01,KMTC MUNDRA,Y,ALL_RECEIVED,12670,0,0,정상
확정,0,ASANA 이전 생성건,TA717001250822,TA717001250822,CJ,해상,45901,태광KR,CJ서부US,TA717001250822,,TA717001250822,8809875453193,B0CMC6S4BM,BA00023,Swimming Pool Toner 300ml,7490,214,6.5,48685,20280408,,COKR25012645,FINISHED,40HQ,1,19,13981.8,31.57,2025-09-13,2475025902029X,2025-09-13,2025-09-19,2025-09-01,KMTC MUNDRA,Y,ALL_RECEIVED,7490,0,0,정상
