date,center,resource_code,resource_name,stock_qty,sales_qty,stock_available,pending_FC,stock_expected,stock_processing,stock_readytoship,snap_time
2025-09-20,AMZUS,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"1,816",19,1816,0,0,0,0,
2025-09-20,AMZUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"6,830",22,6830,0,0,0,0,
2025-09-20,AMZUS,BA00044,바쿠치올플럼핑캡슐토너[150ml/바쿠치올],"2,903",0,2903,0,0,0,0,
2025-09-20,AMZUS,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"9,601",0,9601,0,0,0,0,
2025-09-20,AMZUS,BA00046,히알토인플러딩세럼[30ml/히알토인],"9,605",0,9605,0,0,0,0,
2025-09-20,AMZUS,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"22,721",0,22721,0,0,0,0,
2025-09-20,AMZUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],"4,400",5,4400,0,0,0,0,
2025-09-20,AcrossBUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"4,919",0,,,,,,
2025-09-20,AcrossBUS,BA00022,비타민일루미네이팅세럼[30ml/-],45,0,,,,,,
2025-09-20,AcrossBUS,BA00023,스위밍풀토너[300ml/-],"10,231",0,,,,,,
2025-09-20,AcrossBUS,BA00025,스위밍풀토너패드[220ml|70매/-],3,0,,,,,,
2025-09-20,AcrossBUS,BA00026,스위밍풀앰플[50ml/-],66,0,,,,,,
2025-09-20,AcrossBUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"2,791",0,,,,,,
2025-09-20,AcrossBUS,BA00028,퍼플PDRN포어세럼[30ml/-],"5,609",0,,,,,,
2025-09-20,AcrossBUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"1,466",0,,,,,,
2025-09-20,AcrossBUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"12,290",0,,,,,,
2025-09-20,AcrossBUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"6,271",0,,,,,,
2025-09-20,AcrossBUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"4,564",0,,,,,,
2025-09-20,AcrossBUS,BA10001,(AMZ)토너[300ml/-],24,0,,,,,,
2025-09-20,AcrossBUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],6,0,,,,,,
2025-09-20,AcrossBUS,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],3,0,,,,,,
2025-09-20,AcrossBUS,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],1,0,,,,,,
2025-09-20,태광KR,BA00004,클렌저[200ml/-],7,0,,,,,,
2025-09-20,태광KR,BA00010,딥크림[70ml/-],2,0,,,,,,
2025-09-20,태광KR,BA00012-1,클렌징오일[200ml]_펌프,132,0,,,,,,
2025-09-20,태광KR,BA00019,데일리글로우클렌저[210ml/-],"1,233",0,,,,,,
2025-09-20,태광KR,BA00021,바쿠치올플럼핑세럼[30ml/-],"51,524",0,,,,,,
2025-09-20,태광KR,BA00022,비타민일루미네이팅세럼[30ml/-],"106,141",0,,,,,,
2025-09-20,태광KR,BA00023,스위밍풀토너[300ml/-],"70,531",0,,,,,,
2025-09-20,태광KR,BA00024,스위밍풀토너[155ml/-],"103,968",0,,,,,,
2025-09-20,태광KR,BA00025,스위밍풀토너패드[220ml|70매/-],"17,139",0,,,,,,
2025-09-20,태광KR,BA00026,스위밍풀앰플[50ml/-],"14,500",0,,,,,,
2025-09-20,태광KR,BA00027,퍼플라이스포어팩클렌저[130g/-],"20,248",0,,,,,,
2025-09-20,태광KR,BA00028,퍼플PDRN포어세럼[30ml/-],"16,170",0,,,,,,
2025-09-20,태광KR,BA00029,퍼플라이스포어클렌징오일[200ml/-],"17,667",0,,,,,,
2025-09-20,태광KR,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"15,010",0,,,,,,
2025-09-20,태광KR,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"9,356",0,,,,,,
2025-09-20,태광KR,BA00033,스위밍풀토너[샤쉐|2ml/-],"30,107",0,,,,,,
2025-09-20,태광KR,BA00033_SET,스위밍풀토너[2ml|100EA|샤쉐/-],114,0,,,,,,
2025-09-20,태광KR,BA00034,바쿠치올플럼핑세럼[샤쉐|2ml/-],"30,193",0,,,,,,
2025-09-20,태광KR,BA00034_SET,바쿠치올플럼핑세럼[2ml|100EA|샤쉐/-],57,0,,,,,,
2025-09-20,태광KR,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"5,900",0,,,,,,
2025-09-20,태광KR,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"6,994",0,,,,,,
2025-09-20,태광KR,BA00037,콜라겐 하이드로겔 마스크[1EA|30g/타이트업],154,0,,,,,,
2025-09-20,태광KR,BA00038,콜라겐 하이드로겔 마스크[1EA|30g/글로우업],402,0,,,,,,
2025-09-20,태광KR,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"3,772",0,,,,,,
2025-09-20,태광KR,BA00041,비타민일루미네이팅세럼[샤쉐|2ml/-],"28,085",0,,,,,,
2025-09-20,태광KR,BA00041_SET,비타민일루미네이팅세럼[2ml|100EA|샤쉐/-],83,0,,,,,,
2025-09-20,태광KR,BA00042,콜라겐 하이드로겔 마스크[10EA|30g/타이트업],99,0,,,,,,
2025-09-20,태광KR,BA00043,콜라겐 하이드로겔 마스크[10EA|30g/글로우업],12,0,,,,,,
2025-09-20,태광KR,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"75,390",0,,,,,,
2025-09-20,태광KR,BA00046,히알토인플러딩세럼[30ml/히알토인],"77,619",0,,,,,,
2025-09-20,태광KR,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"77,048",0,,,,,,
2025-09-20,태광KR,BA00049,(SET)스위밍풀토너스페셜세트[토너|455ml/토너300ml+토너155ml],"2,400",0,,,,,,
2025-09-20,태광KR,BA10001,(AMZ)토너[300ml/-],141,0,,,,,,
2025-09-20,태광KR,BA10010,(AMZ)딥크림[70ml/-],1,0,,,,,,
2025-09-20,태광KR,BA10019,(AMZ)데일리글로우클렌저[210ml/-],29,0,,,,,,
2025-09-20,태광KR,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],65,0,,,,,,
2025-09-20,태광KR,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],1,0,,,,,,
2025-09-21,AMZUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"41,540",424,41540,0,0,0,0,
2025-09-21,AMZUS,BA00022,비타민일루미네이팅세럼[30ml/-],"142,838","2,145",142838,0,0,0,0,
2025-09-21,AMZUS,BA00023,스위밍풀토너[300ml/-],"24,157",186,24157,0,0,0,0,
2025-09-21,AMZUS,BA00024,스위밍풀토너[155ml/-],468,0,468,0,0,0,0,
2025-09-21,AMZUS,BA00025,스위밍풀토너패드[220ml|70매/-],"1,313",12,1313,0,0,0,0,
2025-09-21,AMZUS,BA00026,스위밍풀앰플[50ml/-],218,0,218,0,0,0,0,
2025-09-21,AMZUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"4,147",3,4147,0,0,0,0,
2025-09-21,AMZUS,BA00028,퍼플PDRN포어세럼[30ml/-],"2,961",27,2961,0,0,0,0,
2025-09-21,AMZUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"2,169",3,2169,0,0,0,0,
2025-09-21,AMZUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"8,023",13,8023,0,0,0,0,
2025-09-21,AMZUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"12,114",49,12114,0,0,0,0,
2025-09-21,AMZUS,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"1,828",5,1828,0,0,0,0,
2025-09-21,AMZUS,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"1,797",22,1797,0,0,0,0,
2025-09-21,AMZUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"6,808",33,6808,0,0,0,0,
2025-09-21,AMZUS,BA00044,바쿠치올플럼핑캡슐토너[150ml/바쿠치올],"2,903",0,2903,0,0,0,0,
2025-09-21,AMZUS,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"9,601",0,9601,0,0,0,0,
2025-09-21,AMZUS,BA00046,히알토인플러딩세럼[30ml/히알토인],"9,605",0,9605,0,0,0,0,
2025-09-21,AMZUS,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"22,721",0,22721,0,0,0,0,
2025-09-21,AMZUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],"4,395",3,4395,0,0,0,0,
