id,lot,cogs,stock,stock2,barcode,option1,option2,shop_id,category,brand_name,created_at,updated_at,input_stock,output_stock,reserve_stock,resource_code,resource_name,snapshot_date,available_stock,fba_input_stock,promotion_stock,boosters_item_id,fba_output_stock,output_stock_b2b,output_stock_toll,output_stock_sales,acrossb_input_stock,fba_available_stock,acrossb_output_stock,promotion_stock_info,poomgo_v2_input_stock,shopee_my_input_stock,shopee_ph_input_stock,shopee_sg_input_stock,delivery_waiting_stock,poomgo_v2_output_stock,shopee_my_output_stock,shopee_ph_output_stock,shopee_sg_output_stock,acrossb_available_stock,poomgo_v2_available_stock,shopee_my_available_stock,shopee_ph_available_stock,shopee_sg_available_stock
1747887,2028-03-13,4936,0,0,8809875456484,세럼,30ml/-,38,,이퀄베리,2025-03-25T15:22:42.000Z,2025-06-24T20:05:05.000Z,0,0,0,BA00021,이퀄베리-바쿠치올플럼핑세럼[30ml/-],2025-09-19,0,0,0,1499,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988523,R1,4321,0,0,8809875456484,세럼,30ml/-,38,,이퀄베리,2025-06-24T19:56:13.000Z,2025-10-25T04:34:04.000Z,0,0,0,BA00021,이퀄베리-바쿠치올플럼핑세럼[30ml/-],2025-09-19,0,0,0,1372,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746789,R2,4321,1,1,8809875456484,세럼,30ml/-,38,,이퀄베리,2025-03-23T06:39:55.000Z,2025-10-25T04:33:00.000Z,0,0,0,BA00021,이퀄베리-바쿠치올플럼핑세럼[30ml/-],2025-09-19,0,0,0,1358,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746817,R3,4321,210,210,8809875456484,세럼,30ml/-,38,,이퀄베리,2025-03-23T06:40:51.000Z,2025-10-25T04:37:50.000Z,0,0,0,BA00021,이퀄베리-바쿠치올플럼핑세럼[30ml/-],2025-09-19,0,0,0,1428,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010296,R4,4321,51317,51317,8809875456484,세럼,30ml/-,38,,이퀄베리,2025-07-03T11:23:17.000Z,2025-10-31T04:53:07.000Z,10,14,0,BA00021,이퀄베리-바쿠치올플럼핑세럼[30ml/-],2025-09-19,0,0,0,1645,424,0,0,0,0,42241,2,[],0,0,0,0,0,0,0,0,0,4921,0,0,0,0
1760791,R0,9747,0,0,8809875457160,바쿠치올세럼,30ml|2EA/-,38,,이퀄베리,2025-04-07T14:58:52.000Z,2025-06-24T20:05:50.000Z,0,0,0,BA00021_SET01,이퀄베리-(SET)바쿠치올플럼핑세럼[30ml|2EA/-],2025-09-19,0,0,0,1517,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988661,R0,4155,0,0,8809875456477,세럼,30ml/-,38,,이퀄베리,2025-06-24T19:56:18.000Z,2025-10-25T04:34:10.000Z,0,0,0,BA00022,이퀄베리-비타민일루미네이팅세럼[30ml/-],2025-09-19,0,0,0,1373,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746816,R3,4155,15,15,8809875456477,세럼,30ml/-,38,,이퀄베리,2025-03-23T06:40:47.000Z,2025-10-25T04:37:44.000Z,1,0,0,BA00022,이퀄베리-비타민일루미네이팅세럼[30ml/-],2025-09-19,0,0,0,1427,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012505,R4,4155,3798,3798,8809875456477,세럼,30ml/-,38,,이퀄베리,2025-07-04T15:15:39.000Z,2025-10-27T05:06:21.000Z,20,11,0,BA00022,이퀄베리-비타민일루미네이팅세럼[30ml/-],2025-09-19,0,0,0,1657,0,0,0,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2149523,R5,4155,81262,81262,8809875456477,세럼,30ml/-,38,,이퀄베리,2025-08-12T17:37:52.000Z,2025-10-31T04:58:09.000Z,21168,112,0,BA00022,이퀄베리-비타민일루미네이팅세럼[30ml/-],2025-09-19,0,0,0,1760,2212,0,0,108,0,147469,0,[],0,0,0,0,0,0,0,0,0,45,0,0,0,0
1760973,R0,9421,0,0,8809875457177,비타민세럼,30ml|2EA/-,38,,이퀄베리,2025-04-07T14:58:53.000Z,2025-06-24T20:05:54.000Z,0,0,0,BA00022_SET01,이퀄베리-(SET)비타민일루미네이팅세럼[30ml|2EA/-],2025-09-19,0,0,0,1518,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330544,E3,3545,0,0,8809875453193,토너,300ml/-,38,,이퀄베리,2025-10-23T04:39:07.000Z,2025-10-27T05:37:03.000Z,0,0,0,BA00023,이퀄베리-스위밍풀토너[300ml/-],2025-09-19,0,0,0,1914,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746786,R2,3545,70537,70537,8809875453193,토너,300ml/-,38,,이퀄베리,2025-03-23T06:39:47.000Z,2025-10-31T04:38:51.000Z,2,8,0,BA00023,이퀄베리-스위밍풀토너[300ml/-],2025-09-19,0,0,0,1354,204,0,0,1,0,27347,5253,[],0,0,0,0,0,0,0,0,0,15484,0,0,0,0
2100872,R0,2463,50000,50000,8809875456460,토너,155ml/-,38,,이퀄베리,2025-07-28T11:22:00.000Z,2025-07-28T11:22:00.000Z,0,0,0,BA00024,이퀄베리-스위밍풀토너[155ml/-],2025-09-19,50000,0,0,1725,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746787,R2,2418,53967,53967,8809875456460,토너,155ml/-,38,,이퀄베리,2025-03-23T06:39:49.000Z,2025-10-31T04:39:02.000Z,14,13,0,BA00024,이퀄베리-스위밍풀토너[155ml/-],2025-09-19,0,0,0,1355,0,0,0,8,0,1006,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746788,R2,4164,6828,6828,8809875454312,토너패드,220ml|70매/-,38,,이퀄베리,2025-03-23T06:39:53.000Z,2025-10-27T04:46:28.000Z,0,10,0,BA00025,이퀄베리-스위밍풀토너패드[220ml|70매/-],2025-09-19,0,0,0,1356,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024951,R3,4164,10320,10320,8809875454312,토너패드,220ml|70매/-,38,,이퀄베리,2025-07-09T17:13:03.000Z,2025-10-31T04:54:20.000Z,1,0,0,BA00025,이퀄베리-스위밍풀토너패드[220ml|70매/-],2025-09-19,0,0,0,1671,12,0,0,0,0,1352,0,[],0,0,0,0,0,0,0,0,0,3,0,0,0,0
1746812,E2,3184,14,14,8809875454275,앰플,50ml/-,38,,이퀄베리,2025-03-23T06:40:38.000Z,2025-10-25T04:36:56.000Z,1,0,0,BA00026,이퀄베리-스위밍풀앰플[50ml/-],2025-09-19,0,0,0,1416,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870706,E3,3184,14495,14495,8809875454275,앰플,50ml/-,38,,이퀄베리,2025-06-10T17:25:05.000Z,2025-10-27T05:02:38.000Z,2,12,0,BA00026,이퀄베리-스위밍풀앰플[50ml/-],2025-09-19,0,0,0,1604,0,0,0,2,0,0,0,[],0,0,0,0,0,0,0,0,0,66,0,0,0,0
1861980,R2,3184,0,0,8809875454275,앰플,50ml/-,38,,이퀄베리,2025-06-02T13:05:09.000Z,2025-10-30T04:44:12.000Z,0,0,0,BA00026,이퀄베리-스위밍풀앰플[50ml/-],2025-09-19,0,0,0,1357,2,0,0,0,0,372,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225222,E1,3621,0,0,8809875456019,퍼플라이스 팩클렌저,130g/-,38,,이퀄베리,2025-09-08T14:30:59.000Z,2025-09-08T14:30:59.000Z,0,0,0,BA00027,이퀄베리-퍼플라이스포어팩클렌저[130g/-],2025-09-19,0,0,0,1831,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746807,R0,3662,12531,12531,8809875456019,클렌저,포어핏|130g/-,38,,이퀄베리,2025-03-23T06:40:29.000Z,2025-10-31T04:42:20.000Z,5,3,0,BA00027,이퀄베리-퍼플라이스포어팩클렌저[130g/-],2025-09-19,0,0,0,1396,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746826,R0,3621,7713,7713,8809875456019,퍼플라이스 팩클렌저,130g/-,38,,이퀄베리,2025-03-23T06:41:11.000Z,2025-10-27T04:51:56.000Z,5,3,0,BA00027,이퀄베리-퍼플라이스포어팩클렌저[130g/-],2025-09-19,0,0,0,1446,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,2791,0,0,0,0
2225040,R1,3621,0,0,8809875456019,퍼플라이스 팩클렌저,130g/-,38,,이퀄베리,2025-09-08T14:30:57.000Z,2025-10-30T05:10:54.000Z,0,0,0,BA00027,이퀄베리-퍼플라이스포어팩클렌저[130g/-],2025-09-19,0,0,0,1830,2,0,0,0,0,4149,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746808,R0,4096,6486,6486,8809875456026,세럼,포어핏|30ml/-,38,,이퀄베리,2025-03-23T06:40:31.000Z,2025-10-31T04:42:25.000Z,1,0,0,BA00028,이퀄베리-퍼플PDRN포어세럼[30ml/-],2025-09-19,0,0,0,1397,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
